title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Foundations and challenges of low-inertia systems,"F Milano, F Dörfler, G Hug, DJ Hill…",2018,1809,"… of frequency, inertia, as well as control of power converters … In particular, we focus on transient and frequency stability as … the CIG control, system stability, and inertia placement studies (…",qqkYw7UMEsoJ,"F Milano, F Dörfler, G Hug, DJ Hill… - 2018 power systems …, 2018 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/8450880/,unknown,unknown
Increasing the resilience of low-inertia power systems by virtual inertia and damping,"D Groß, S Bolognani, BK Poolla…",2017,109,"… We review performance metrics used to quantify frequency stability in Section III. The main … In this section, we investigate the virtual inertia placement problem for a case study described …",l1eNVgoyMBUJ,"D Groß, S Bolognani, BK Poolla… - Proceedings of IREP' …, 2017 - research-collection.ethz.ch",[],https://www.research-collection.ethz.ch/bitstreams/a858c575-3c1b-49fb-97c2-394297199ecd/download,unknown,unknown
Challenges and solutions in low‐inertia power systems with high wind penetration,"B Elenga Baningobera, I Oleinikova…",2024,25,"… in low-inertia environments, ranging from frequency stability to … of optimal placement of ESS equipped with synthetic inertia … the frequency stability of power systems with low inertia. The …",ZHBiSQ79-0AJ,"B Elenga Baningobera, I Oleinikova… - IET Generation …, 2024 - Wiley Online Library",[],https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/gtd2.13270,unknown,unknown
Optimal energy storage system-based virtual inertia placement: A frequency stability point of view,"H Golpîra, A Atarodi, S Amini…",2020,135,"… mal placement of virtual inertia in low inertia power systems which in turn improves host grid frequency stability… In this way, the ESSs are used to emulate virtual inertia placement. On the …",B8T9BJWdfM4J,"H Golpîra, A Atarodi, S Amini… - … on Power Systems, 2020 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9109738/,unknown,unknown
Security-constrained unit commitment considering locational frequency stability in low-inertia power grids,"M Tuo, X Li",2022,122,"… inertia would be a main challenge for power systems stability. Moreover, low inertia feature … to guarantee generator frequency stability considering the relative location to the potentialG …",_o2BEM583SoJ,"M Tuo, X Li - IEEE Transactions on Power Systems, 2022 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9925092/,unknown,unknown
Improving frequency regulation for future low inertia power grids: a review,"BK Wamukoya, CM Muriithi, KK Kaberere",2024,13,… problem for VI sizing and placement as well as techniques … Reduced grid inertia results in frequency stability challenges … in addressing the low inertia problem in power systems with …,L1PfxoRFE_UJ,"BK Wamukoya, CM Muriithi, KK Kaberere - Bulletin of Electrical …, 2024 - beei2.org",[],http://beei2.org/index.php/EEI/article/view/5873,unknown,unknown
Design of energy storage for frequency stability in low-inertia power grid,"U Akram, N Mithulananthan, R Shah…",2023,23,"… Pourmousavi, “Sizing HESS as inertial and primary frequency reserve in low inertia power … , “Power system frequency stability using optimal sizing and placement of battery energy …",5m8kb0p-gs4J,"U Akram, N Mithulananthan, R Shah… - IEEE Systems …, 2023 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10147296/,unknown,unknown
Optimal allocation of virtual inertia devices for enhancing frequency stability in low-inertia power systems,"M Tuo, X Li",2021,18,"… , the optimal placement of virtual inertia can be recast as a system norm minimization … low-inertia power systems with virtual inertia devices. A brief investigation into regional frequency …",PQgXDZ3d8BQJ,"M Tuo, X Li - 2021 North American Power Symposium (NAPS), 2021 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9654729/,unknown,unknown
A new synthetic inertia system based on electric vehicles to support the frequency stability of low-inertia modern power grids,"G Magdy, H Ali, D Xu",2021,92,"… inertia control (SIC) system that relies on electric vehicles (EVs) as a pre-existing energy source in low-inertia modern power … In this way, the power system inertia can be imitated by …",liEr69ZKigoJ,"G Magdy, H Ali, D Xu - Journal of cleaner production, 2021 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0959652621008155,unknown,unknown
Inertia security evaluation and application in low-inertia power systems,"W Zhang, Y Wen, CY Chung",2024,51,"… In this section, the ISR is described with a focus on system frequency stability. Section-II-A … In this paper, for a specific system, the location and size of the disturbance for the calculation …",AE_bjkgF-JgJ,"W Zhang, Y Wen, CY Chung - … Transactions on Power Systems, 2024 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10577465/,unknown,unknown
