title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Optimal placement of virtual inertia in power grids,"BK Poolla, S Bolognani, F Dörfler",2017.0,388,… generation connected via power electronic converters. The … We consider a linear network-reduced power system model … of optimally allocating virtual inertia when economic …,doZ0Xpg9MZMJ,"BK Poolla, S Bolognani, F Dörfler - IEEE Transactions on …, 2017 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/7924418/,unknown,unknown
Placement and implementation of grid-forming and grid-following virtual inertia and fast frequency response,"BK Poolla, D Groß, F Dörfler",2019.0,544,… explicit models of converter-based virtual inertia devices that … to optimally tune the parameters and the placement of the VI … of the distribution of the maximum generator RoCoF for grid-…,Ks-7vW7B95oJ,"BK Poolla, D Groß, F Dörfler - … Transactions on Power Systems, 2019 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/8607122/,unknown,unknown
Increasing the resilience of low-inertia power systems by virtual inertia and damping,"D Groß, S Bolognani, BK Poolla…",2017.0,109,"… the resulting allocations of virtual inertia for a three-area test system and … virtual inertia placement problem for a case study described in Section VA. Next, optimal virtual inertia allocation …",l1eNVgoyMBUJ,"D Groß, S Bolognani, BK Poolla… - Proceedings of IREP' …, 2017 - research-collection.ethz.ch",[],https://www.research-collection.ethz.ch/bitstreams/a858c575-3c1b-49fb-97c2-394297199ecd/download,unknown,unknown
Optimal allocation of virtual inertia devices for enhancing frequency stability in low-inertia power systems,"M Tuo, X Li",2021.0,18,… grid-forming converter (GFC)-based virtual inertia devices are defined to show how such devices contribute to power system … paper optimally tune the parameters and the placement of …,PQgXDZ3d8BQJ,"M Tuo, X Li - 2021 North American Power Symposium (NAPS), 2021 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9654729/,unknown,unknown
Virtual inertia placement in electric power grids,"BK Poolla, D Groß, T Borsche, S Bolognani…",2018.0,19,"… problem of allocating virtual inertia and damping in a grid, from … maximum total size of the power converters in these devices. … -inertia power systems and studied the optimal placement …",BL7In8RFmJ0J,"BK Poolla, D Groß, T Borsche, S Bolognani… - Energy Markets and …, 2018 - Springer",[],https://link.springer.com/chapter/10.1007/978-1-4939-7822-9_12,unknown,unknown
Optimal allocation of energy storages: A perspective of system inertia support,"N Zhu, P Hu, Y Li, D Jiang, Y Yu",2023.0,13,… inertia and affects the frequency stability of power system. One … number of energy storage facilities with virtual inertia in suitable … controls over the converters of energy storages. While …,1GFkqRZlDDUJ,"N Zhu, P Hu, Y Li, D Jiang, Y Yu - … of Electrical Power & Energy Systems, 2023 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0142061522009309,unknown,unknown
Optimal allocation of virtual inertia and droop control for renewable energy in stochastic look-ahead power dispatch,"Y Shen, W Wu, B Wang, S Sun",2023.0,95,"… sources (RESs) dominated power system, frequency … The optimal placement of virtual inertia for ESSs was proposed in [26] … for converter-interfaced units such as RESs/ESSs, the virtual …",1F1Gd5MWcRkJ,"Y Shen, W Wu, B Wang, S Sun - … on Sustainable Energy, 2023 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10064057/,unknown,unknown
Tuning grid-forming converters for optimal allocation of virtual inertia and damping in low-inertia power systems,"J Buire, F Kelada, J Marchand…",2026.0,1,… for allocating virtual inertia (Hv) and damping (Dv) among GFM converters in low-inertia distribution … Findings show that optimal virtual inertia placement enhances grid stability more …,v0kl8DHYf6IJ,"J Buire, F Kelada, J Marchand… - Available at SSRN …, 2026 - papers.ssrn.com",[],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6556785,unknown,unknown
Virtual inertia synthesis and control,"T Kerdphol, FS Rahman, M Watanabe, Y Mitani",2021.0,144,… selecting optimal placement locations for virtual inertia control … inertia problem in the power system dominated by inverter-… the interchanged power by a distribution of controlling power. …,y68JqyFiaHcJ,"T Kerdphol, FS Rahman, M Watanabe, Y Mitani - 2021 - Springer",[],https://link.springer.com/content/pdf/10.1007/978-3-030-57961-6.pdf,unknown,unknown
Swarm‐based mean‐variance mapping optimization for optimal placement of energy storage with synthetic inertia control on a low inertia power grid,"FS Rahman, Israjuddin, N Hariyanto…",2021.0,10,… inertia caused by the utilization of inverter-based generation. In … the optimal allocation and placement of virtual inertia based on the minimization of the H 2 norm of the power system is …,zxOGMhL5_R4J,"FS Rahman, Israjuddin, N Hariyanto… - … & distribution, 2021 - Wiley Online Library",[],https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/gtd2.12196,unknown,unknown
Virtual inertia control for power electronics-integrated power systems: Challenges and prospects,"MA Shobug, NA Chowdhury, MA Hossain, MJ Sanjari…",2024.0,47,… within converter-integrated RESs into power systems … with the optimal placement of ESS in the power system networks. In … Coordinated VI allocation is implemented based on inertia …,K5vb-tOiefkJ,"MA Shobug, NA Chowdhury, MA Hossain, MJ Sanjari… - Energies, 2024 - mdpi.com",[],https://www.mdpi.com/1996-1073/17/11/2737,unknown,unknown
Two-stage chance-constrained stochastic thermal unit commitment for optimal provision of virtual inertia in wind-storage systems,"T Ding, Z Zeng, M Qu, JPS Catalao…",2021.0,136,"… virtual inertia responses by power electronic converters, while … and the location of virtual inertia in the power grid was … The distribution of the system and virtual inertia for different …",tLj87wAa1MYJ,"T Ding, Z Zeng, M Qu, JPS Catalao… - … on Power Systems, 2021 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9321704/,unknown,unknown
Optimal placement of inertia and primary control in high voltage power grids,"P Jacquod, L Pagnier",2019.0,12,"… We consider power system dynamics in the lossless line approximation, appropriate to deal … Because we are interested in finding the optimal distribution of inertia and/or primary control …",Ap2bSZUGlp0J,"P Jacquod, L Pagnier - … on Information Sciences and Systems …, 2019 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/8692916/,unknown,unknown
Optimal Allocation of Virtual Inertia,L Perbellini,2021.0,0,"… In a future power system where a consistent share of the … to provide virtual inertia on one of the VSC converters, while … the grid we can understand the decision regarding its placement. …",3X9PtxWEyXIJ,L Perbellini - 2021 - politesi.polimi.it,[],https://www.politesi.polimi.it/handle/10589/198494,unknown,unknown
Optimal energy storage system-based virtual inertia placement: A frequency stability point of view,"H Golpîra, A Atarodi, S Amini…",2020.0,135,… high efficiency of the proposed method to optimally allocate virtual inertia in the system. … power system frequency stability using virtual inertia from inverter-based renewable energy …,B8T9BJWdfM4J,"H Golpîra, A Atarodi, S Amini… - … on Power Systems, 2020 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9109738/,unknown,unknown
Optimal Planning of Virtual Inertia Installations to Improve the Power System Frequency Response,P Li,2022.0,0,"… emulation control have been proposed on the converter-… at one location of a power grid is different from the other location … Therefore, the optimal virtual inertia allocation problem is a 2 …",tiVYcC_itYQJ,P Li - 2022 - harvest.usask.ca,[],https://harvest.usask.ca/bitstream/10388/13799/1/LI-DISSERTATION-2022.pdf,unknown,unknown
Bus-Level Inertia Mapping and Bayesian Optimization for Virtual Inertia Allocation in Low-Inertia Power Systems,"AB Pradana, F Yang, S Sun, MJ Sanjari",,0,"… that the optimal virtual inertia increases as system inertia … solution for real-world converter-based power systems. … spatial inertia characterization, and multi-location VI placement …",zPib1UDnfgcJ,"AB Pradana, F Yang, S Sun, MJ Sanjari - Available at SSRN 7023060 - papers.ssrn.com",[],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=7023060,unknown,unknown
An optimal non-integer model predictive virtual inertia control in inverter-based modern AC power grids-based V2G technology,MH Khooban,2020.0,63,"… power grid works at an economic optimum as well as the relation between a power grid with a distribution power … In this study, the valve position increment of the governor, the power …",wNosVhKwbvsJ,"MH Khooban - IEEE Transactions on Energy Conversion, 2020 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9222362/,unknown,unknown
Power management strategy based on virtual inertia for DC microgrids,PJ dos Santos Neto…,2020.0,177,"… In addition, appealing for renewable energy insertion favors DC … of an urban distribution system. Section III details the proposed … Virtual inertia In a conventional power system, the …",7ueeV4szhugJ,"PJ dos Santos Neto… - … on Power …, 2020 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9069316/,unknown,unknown
Virtual inertia emulating in power electronic–based power systems,"Y Khayat, M Naderi, H Bevrani, F Blaabjerg",2021.0,10,"… dynamics and provide the inertia, virtually. The main source of the virtual inertia is the short-term stored energy in the DC link of the DER power converters, which should be injected to …",9P2Xyd2R4dQJ,"Y Khayat, M Naderi, H Bevrani, F Blaabjerg - … converters and systems, 2021 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/B9780128194324000196,unknown,unknown
