title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
CNN-Integrated MA-DRL Framework for Cost Effective Dynamic Frequency Support Through Intelligent Voltage Regulation in Grid-Forming Inverters,"A Gorjian, MH Moradi…",2026,1,"… To construct a fully decentralized control structure in a complex AMGMT architecture, a multiagent deep reinforcement learning (MA-DRL) framework is employed, which obviates the …",ugDNej7j45sJ,"A Gorjian, MH Moradi… - IEEE Transactions on …, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11475908/,unknown,unknown
A MADRL Driven Optimization Framework for Grid Node Inertia and Grid-Forming Converter Damping Characteristics in Microgrids,"L Ge, Y Qi, Y Guo, L Hou, S Wan, H Bai…",2026,0,… grid-forming converter (GFC) control methods are fixed. This paper proposes a multi-intelligent deep learning (… It is designed to address multi-agent reinforcement learning problems in …,kEwKDL0Y3QQJ,"L Ge, Y Qi, Y Guo, L Hou, S Wan, H Bai… - IEEE Transactions …, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11471279/,unknown,unknown
Multi‐Agent Volt‐VAR Control for Renewable Power Stations With Grid‐Forming Energy Storage: An Improved MASAC Approach,"K Guan, S Xu, Z Li, Z Li, L Xu, P Gao",2026,0,… This article proposes an innovative coordinated control framework that synergizes grid-forming energy storage (GFM-ES) with multi-agent reinforcement learning (MARL). The main …,mz2SiICWenUJ,"K Guan, S Xu, Z Li, Z Li, L Xu, P Gao - Engineering Reports, 2026 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/abs/10.1002/eng2.70835,unknown,unknown
MULTI-AGENT AI ORCHESTRATION OF GRID-FORMING VIRTUAL POWER PLANTS FOR BIDIRECTIONAL EV ENERGY NETWORKS,"S Ali, M Moosa, A Ali, R Arain…",2026,0,"… grid-forming inverter control, and reinforcement learning-based … stability through adaptive grid-forming control mechanisms. In … The results validate the potential of AI-driven grid-forming …",08aBemdxWEkJ,"S Ali, M Moosa, A Ali, R Arain… - Spectrum of Engineering …, 2026 - thesesjournal.com",[],https://www.thesesjournal.com/index.php/1/article/view/2839,unknown,unknown
A distributed dynamic inertia-droop control strategy based on multi-agent deep reinforcement learning for multiple paralleled VSGs,"Q Yang, L Yan, X Chen, Y Chen…",2022,52,"… On the contrary, the grid-forming control strategy is to control … to research results in [41], the grid-forming device improves … energy storage with grid-forming control based on VSG. The …",UA0QFIzpeK4J,"Q Yang, L Yan, X Chen, Y Chen… - IEEE Transactions on …, 2022 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9946410/,unknown,unknown
Reinforcement learning fusion strategy for grid-following/grid-forming of renewable energy converters with high penetration rate facing SCR fluctuations,"C Yu, W Fang, F Xu, H Xu, J Dong…",2026,0,"… proposes a reinforcement learning (RL)-based fusion control strategy for GFL and GFM inverters. … Meanwhile, a multiagent RL framework based on centralized training and distributed …",GVHtQWsyX80J,"C Yu, W Fang, F Xu, H Xu, J Dong… - Chinese Journal of …, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11595072/,unknown,unknown
Multi-agent deep reinforcement learning for joint dynamic conservation voltage reduction and Q-sharing in inverter-based autonomous microgrids,"A Gorjian, M Eskandari, MH Moradi",2024,16,… control structure to implement the DCVR in AMGs for tackling the existing issues. The multi-agent deep reinforcement learning (… prove the effectiveness of the proposed control method. …,m7Z645aFl90J,"A Gorjian, M Eskandari, MH Moradi - Electric Power Systems Research, 2024 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0378779624002219,unknown,unknown
"Grid-Forming Inverters Review: Control, Stability, and the Next Stage with Artificial Intelligence and Digital Twins","Y Abudyak, MH Rezaei, AAB Abdelnabi…",2026,9,"… techniques, from decision trees and support vector machines to Deep Reinforcement Learning (DRL) and adaptive controllers, and DT methodologies, ranging from simple virtual …",SteLR5ewnu4J,"Y Abudyak, MH Rezaei, AAB Abdelnabi… - IEEE Open Journal …, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11355925/,unknown,unknown
A deep reinforcement learning-based intelligent grid-forming inverter for inertia synthesis by impedance emulation,"M Eskandari, AV Savkin…",2023,47,"… Wen, “A distributed dynamic inertiadroop control strategy based on multi-agent deep reinforcement learning for multiple paralleled VSGs,” IEEE Trans. Power Syst., 2022, early acess, …",h9jp-gXr7NcJ,"M Eskandari, AV Savkin… - IEEE Transactions on …, 2023 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10037236/,unknown,unknown
Reinforcement Learning-Based Adaptive Voltage Support for Grid-Forming Converters,"K Moradi, Q Shafiee, H Bevrani",2025,0,"… , unforeseen system topologies, or complex multi-agent interactions [6]. The coordination of numerous, geographically dispersed voltage control devices in a meshed or weakly radial …",USKPJjpuiWoJ,"K Moradi, Q Shafiee, H Bevrani - 2025 15th Smart Grid …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11372387/,unknown,unknown
Renewable-Integrated agent-based microgrid model with grid-forming support for improved frequency regulation,"P Danyao, S Lee, C Seonhan",2025,4,… Dynamic multi-agent-based management and load frequency control … grid-forming inverters with adaptive model predictive control and novel COA-jDE optimized reinforcement learning. …,Er7hiWUuFfcJ,"P Danyao, S Lee, C Seonhan - Mathematics, 2025 - search.proquest.com",[],https://search.proquest.com/openview/d36ba35585b714c474d7df58e95bc094/1?pq-origsite=gscholar&cbl=2032364,unknown,unknown
Multi-Objective Reinforcement Learning for Virtual Impedance Scheduling in Grid-Forming Power Converters Under Nonlinear and Transient Loads,"J Ma, K Peng, X Qin, Z Xu",2025,3,"… By elevating virtual impedance from a static setting parameter to a continuously learned control policy, this work introduces a new direction in intelligent converter control. The proposed …",d836hD9g9kEJ,"J Ma, K Peng, X Qin, Z Xu - Energies, 2025 - mdpi.com",[],https://www.mdpi.com/1996-1073/18/24/6621,unknown,unknown
Deep reinforcement learning framework for adaptive power control in grid-forming inverters: A multi-objective optimization approach,"MK Rajak, R Pudur",2025,21,"… A novel deep reinforcement learning system is introduced, revolutionizing grid-forming inverter control through an attention-based neural architecture with adaptive policy optimization. …",r0_42ez5bSwJ,"MK Rajak, R Pudur - Journal of Renewable and Sustainable Energy, 2025 - pubs.aip.org",[],https://pubs.aip.org/aip/jrse/article/17/2/026301/3343241,unknown,unknown
Optimal control of voltage forming grid inverters by model predictive control and reinforcement learning-part ii: Real-time implementation and experimental …,"D Weber, J Lange, D Schmies, M Schenke…",2025,4,"… both, MPC and RL-based control within a system of the given … of either control approach that operates a gridforming inverter in … -shielded multiagent deep reinforcement learning for safe …",lDv9j3wHyqsJ,"D Weber, J Lange, D Schmies, M Schenke… - 2025 - techrxiv.org",[],https://www.techrxiv.org/doi/full/10.36227/techrxiv.173603469.93833780/v1,unknown,unknown
