title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Virtual synchronous generator control using twin delayed deep deterministic policy gradient method,"O Oboreh-Snapps, B She, S Fahad…",2023,64,"… frequency response against disturbances. In the proposed approach, the control variables, namely, the 4 virtual … 5 into actions of a reinforcement learning agent. Different from 6 the state…",ScX6q-H9iUcJ,"O Oboreh-Snapps, B She, S Fahad… - IEEE Transactions …, 2023 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10234723/,unknown,unknown
Bridge the Sim-to-Real Gap in Virtual Synchronous Generator-Based Frequency Control With Robust Deep Reinforcement Learning,"L Zeng, M Sun",2026,2,"… Sim-to-Real gap in DRL-based frequency control of power systems, this paper proposes a novel physics-informed robust reinforcement learning method, termed RoGPI-P (Robust Gen…",ACX7HKtl3VwJ,"L Zeng, M Sun - IEEE Transactions on Power Systems, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11367267/,unknown,unknown
Data-driven optimal control strategy for virtual synchronous generator via deep reinforcement learning approach,"Y Li, W Gao, S Huang, R Wang, W Yan…",2021,148,"… control problem for VSG is formulated and transformed into a reinforcement learning task. Therein, the expected performance to achieve multiple control targets for angular frequency …",M_yE69_PND8J,"Y Li, W Gao, S Huang, R Wang, W Yan… - Journal of Modern …, 2021 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9335702/,unknown,unknown
Adaptive control for virtual synchronous generator parameters based on soft actor critic,"C Lu, X Zhuan",2024,18,… method based on reinforcement learning (RL) aimed at resolving the issues of active power and frequency oscillations present in a traditional virtual synchronous generator (VSG). The …,zbZ8EVnvjdQJ,"C Lu, X Zhuan - Sensors, 2024 - mdpi.com",[],https://www.mdpi.com/1424-8220/24/7/2035,unknown,unknown
A novel reinforcement learning policy optimization based adaptive VSG control technique for improved frequency stabilization in AC microgrids,"Z Benhmidouch, S Moufid, A Ait-Omar, A Abbou…",2024,45,… Reinforcement Learning (RL) based approach for adaptive Virtual Synchronous Generator (VSG) control of grid… High penetration of inverter-based resources causes recurrent frequency …,-lbnsjXDaJIJ,"Z Benhmidouch, S Moufid, A Ait-Omar, A Abbou… - Electric Power Systems …, 2024 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0378779624001573,unknown,unknown
Enhancing frequency stability with decentralized adaptive control using multi-agent deep reinforcement learning of multi-VSGs,"S Kang, Y Jung, D You, G Jang",2025,5,"… synchronous generators, providing inertia and damping properties to improve frequency and … This paper proposes a novel decentralized adaptive control strategy for frequency stability …",rvikXZ6lRSUJ,"S Kang, Y Jung, D You, G Jang - International Journal of Electrical Power & …, 2025 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0142061525009226,unknown,unknown
Research on frequency optimization strategy of multi virtual synchronous generator microgrid based on Q-reinforcement learning,"J Jiang, Y Lu, T Pan, W Yang, Y Wang, Z Dou",2023,6,… frequency modulation strategy of the virtual synchronous machine based on reinforcement learning … The virtual synchronizer parameters in the simulation are shown in Table 1. The mi…,q23ihvKUwHEJ,"J Jiang, Y Lu, T Pan, W Yang, Y Wang, Z Dou - … . Commun. Intell. Control, 2023 - ijicic.org",[],http://www.ijicic.org/ijicic-190412.pdf,unknown,unknown
A deep reinforcement learning design for virtual synchronous generators accommodating modular multilevel converters,"M Yang, X Wu, MC Loveth",2023,14,… virtual synchronous machine (PV-VSG) in comparison with the classic VSG while only considering the active load power change and considering neither the load frequency nor voltage …,J6stOGxpYn0J,"M Yang, X Wu, MC Loveth - Applied Sciences, 2023 - mdpi.com",[],https://www.mdpi.com/2076-3417/13/10/5879,unknown,unknown
Adaptive Deep Reinforcement Learning for Virtual Synchronous Generator Control in Ship Power Systems,"S Zarrabian, VH Bui, F Feng",2025,1,"… , virtual synchronous generators (VSG) have been modeled and utilized in recent years. In this paper, a deep reinforcement learning-based adaptive control … reference frequency, the …",TsU0W4gaHOMJ,"S Zarrabian, VH Bui, F Feng - 2025 IEEE Electric Ship …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11152416/,unknown,unknown
Adaptive transient power angle control for virtual synchronous generators via physics-embedded reinforcement learning,"J Gao, S Chen, S Fan, JJ Zhang, D Ke, H Jun, K Jiang…",2025,4,"… By adjusting these weights, the reinforcement learning agent is encouraged to maintain a stable power angle while minimizing frequency fluctuations and ensuring that the power output …",ZvC1nB-ju6IJ,"J Gao, S Chen, S Fan, JJ Zhang, D Ke, H Jun, K Jiang… - Electronics, 2025 - mdpi.com",[],https://www.mdpi.com/2079-9292/14/17/3503,unknown,unknown
Deep reinforcement learning based adaptive control strategy for virtual synchronous generator,"X Ding, J Cao, X Wang",2024,4,"… frequency under grid-forming control strategy. Various strategies are proposed, among which virtual synchronous generator … damping characteristics of synchronous generators (SGs) [3]…",WDXgHC9Ti_YJ,"X Ding, J Cao, X Wang - 2024 Second International …, 2024 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10698187/,unknown,unknown
Reinforcement Learning-Based Adaptive Control for a Permanent Magnet Synchronous Generator Connected to a Hybrid AC/DC Grid with Virtual Inertia …,"IA Zenhom, MI Marei, AMI Mohamad",2026,0,"… strategy to regulate generator torque … virtual synchronous generator controller. By optimizing these parameters under different scenarios, the study successfully enhanced grid frequency …",HkRd6rUmT8wJ,"IA Zenhom, MI Marei, AMI Mohamad - Sustainability, 2026 - mdpi.com",[],https://www.mdpi.com/2071-1050/18/14/7404,unknown,unknown
Deep and reinforcement learning in virtual synchronous generator: A comprehensive review,"X Ding, J Cao",2024,16,"… Visscher, K.; De Haan, SWH Virtual synchronous machines (VSG’s) for frequency stabilisation in future grids with a significant share of decentralized generation. In Proceedings of the …",la2HucQ9PX4J,"X Ding, J Cao - Energies, 2024 - mdpi.com",[],https://www.mdpi.com/1996-1073/17/11/2620,unknown,unknown
Reinforcement-learning-based virtual inertia controller for frequency support in islanded microgrids,"MA Afifi, MI Marei, AMI Mohamad",2024,38,"… electronic devices and virtual synchronous generators, necessitating … frequency control, including conventional droop control [23] and its more advanced variant, adaptive droop control …",qdFeSyO0uLIJ,"MA Afifi, MI Marei, AMI Mohamad - Technologies, 2024 - mdpi.com",[],https://www.mdpi.com/2227-7080/12/3/39,unknown,unknown
