title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Powernet: Multi-agent deep reinforcement learning for scalable powergrid control,"D Chen, K Chen, Z Li, T Chu, R Yao…",2021,137,"… We adopt the centralized training and decentralized execution scheme [30], [42… compared to other algorithms (see Fig. 5 b). To better show the voltage control performance, we compare …",MHkN2TaL6LIJ,"D Chen, K Chen, Z Li, T Chu, R Yao… - … on Power Systems, 2021 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9502564/,unknown,unknown
Data-driven multi-agent deep reinforcement learning for distribution system decentralized voltage control with high penetration of PVs,"D Cao, J Zhao, W Hu, F Ding, Q Huang…",2021,256,"… Compared with the SAC-D method, the centralized training and decentralized execution … optimization of distribution network and applications of machine learning in power systems. …",4PN8L9QPg3QJ,"D Cao, J Zhao, W Hu, F Ding, Q Huang… - … on Smart Grid, 2021 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9399637/,unknown,unknown
Degradation-constrained multi-agent reinforcement learning with centralized training and decentralized execution for vehicle-to-grid optimization in renewable …,"Y Shiferaw, M Kiros, K Yeneneh, G Sufe",2026,0,… distribution network with electric vehicle penetration up to 50% and compared against two … physics-informed energy system modeling with reinforcement learning–based predictive …,s4lVwyNfGRoJ,"Y Shiferaw, M Kiros, K Yeneneh, G Sufe - Scientific Reports, 2026 - nature.com",[],https://www.nature.com/articles/s41598-026-55471-3,unknown,unknown
A data-driven multi-agent autonomous voltage control framework using deep reinforcement learning,"S Wang, J Duan, D Shi, C Xu, H Li…",2020,382,"… In this paper, a novel multiagent AVC (MA-AVC) scheme is … -agent centralized executing control system to a multi-agent decentralized … Compared to past work, our contributions can be …",WvyHgsuu1cIJ,"S Wang, J Duan, D Shi, C Xu, H Li… - … on Power Systems, 2020 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9076841/,unknown,unknown
A multi-agent deep reinforcement learning method for cooperative load frequency control of a multi-area power system,"Z Yan, Y Xu",2020,446,… A single-agent DDPG approach [22] with the same learning parameters setting is also compared… on multi-agent deep reinforcement learning that incorporates a centralized learning and …,Ea0giKoQ9IQJ,"Z Yan, Y Xu - IEEE Transactions on Power Systems, 2020 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9108633/,unknown,unknown
Centralized vs. decentralized multi-agent reinforcement learning for enhanced control of electric vehicle charging networks,"A Shojaeighadikolaei, Z Talata, M Hashemi",2024,12,"… agents may perform poorly compared with best-performing agents. … “Multiagent deep reinforcement learning method for EV charging station game,” IEEE Transactions on Power Systems…",l5gba_TVnwsJ,"A Shojaeighadikolaei, Z Talata, M Hashemi - arXiv preprint arXiv …, 2024 - arxiv.org",[],https://arxiv.org/abs/2404.12520,unknown,unknown
Centrally coordinated multi-agent reinforcement learning for power grid topology control,"B de Mol, D Barbieri, J Viebahn, D Grossi",2025,11,"… and coordinating agents are compared, ranging from greedy … factorization while maintaining centralized coordination. • We … We compare the new action space with the default action …",ydtCpa3m9JgJ,"B de Mol, D Barbieri, J Viebahn, D Grossi - … Sustainable Energy Systems, 2025 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3679240.3734602,unknown,unknown
A decentralized multi-agent energy management strategy based on a look-ahead reinforcement learning approach,"A Khalatbarisoltani, M Kandidayeni, L Boulon…",2022,27,"… play) and reliability compared to the centralized data-driven strategies… system without the need for reconfiguration. Hence, this article puts forward a decentralized reinforcement learning …",qIXiIyBtgg8J,"A Khalatbarisoltani, M Kandidayeni, L Boulon… - SAE International Journal …, 2022 - JSTOR",[],https://www.jstor.org/stable/27206772,unknown,unknown
Multi-agent deep reinforcement learning for voltage control with coordinated active and reactive power optimization,"D Hu, Z Ye, Y Gao, Z Ye, Y Peng…",2022,232,… (MARL) has been explored in the power system domain. The autonomous voltage control … centralized critics with an attention mechanism. Compared to the state-of-the-art multi-agent …,8wdII4LRm0QJ,"D Hu, Z Ye, Y Gao, Z Ye, Y Peng… - … on Smart Grid, 2022 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9805763/,unknown,unknown
Multi-agent reinforcement learning for decentralized resilient secondary control of energy storage systems against DoS attacks,"P Chen, S Liu, B Chen, L Yu",2022,134,"… [14] compared with the traditional reinforcement learning method… overall multi-agent learning system, the centralized training … framework to enhance power system resilience using shunt …",b5mFaKCVR80J,"P Chen, S Liu, B Chen, L Yu - IEEE Transactions on Smart Grid, 2022 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9676705/,unknown,unknown
