title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Enhancing Frequency Regulation in Modern Power Systems using ANN–Based Virtual Inertia Control,"PBD Kannan, K Ravi",2026,0,"… , resulting in power and frequency oscillations that negatively impact overall system stability. … regulation and interarea coordination. These results highlight the adaptive capability of ANN…",EG2er3qc7sgJ,"PBD Kannan, K Ravi - IEEE Access, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11557316/,unknown,unknown
Adaptive inter-area power oscillation damping from offshore wind farm and MMC-HVDC using deep reinforcement learning,"Z Zhang, Y Liang, X Zhao",2024,30,… (HVDC) links to provide ancillary power oscillation damping (POD) services may become a … the coordinated PODCs by using the deep reinforcement learning (DRL) method. The DRL-…,iDXhcRFT8EwJ,"Z Zhang, Y Liang, X Zhao - Renewable Energy, 2024 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0960148124002295,unknown,unknown
Advanced under frequency load shedding scheme incorporating wind-driven virtual inertia and inter-area oscillation sensitive control,"S Irandoust, T Amraee, M Toulabi…",2026,1,"… positive effects on frequency response and inter-area oscillation damping [20]. Building upon these efforts, adaptive control strategies that combine virtual inertia and supplementary …",aCD7irLriaYJ,"S Irandoust, T Amraee, M Toulabi… - International Journal of …, 2026 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0142061526002619,unknown,unknown
Deep reinforcement learning-based control of energy storage for interarea oscillation damping,"AS Hasan, R Fan, D Wu",2025,9,"… , raising concerns of inter-area oscillations that deteriorate the … [15] introduced a virtual inertia and damping control strategy … Consequently, adapting control strategies to these dynamic …",X_-rK6Xsde0J,"AS Hasan, R Fan, D Wu - IEEE Transactions on Industrial …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10879139/,unknown,unknown
Adaptive damping control scheme for wind grid-connected power systems with virtual inertia control,"T Wang, M Jin, Y Li, J Wang, Z Wang…",2022,73,"… robust wide-area PSSs for damping inter-area oscillations in wind-integrated power systems,” … Blaabjerg, “Coordination of virtual inertia control and frequency damping in PV systems for …",V3kCoSusil4J,"T Wang, M Jin, Y Li, J Wang, Z Wang… - IEEE Transactions on …, 2022 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9668997/,unknown,unknown
A Meta-Strategy Framework With Deep Reinforcement Learning for Damping Interarea Oscillation via High-Voltage DC Transmission,"W Gao, R Fan, Q Huang, Y Li…",2025,3,… power modulation without the inertia limitations of conven… Adaptive inter-area power oscillation damping from offshore wind farm and MMC-HVDC using deep reinforcement learning…,RnbgBHUwEb4J,"W Gao, R Fan, Q Huang, Y Li… - IEEE Transactions on …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11121845/,unknown,unknown
A guided evolutionary strategy based-static var compensator control approach for interarea oscillation damping,"R Huang, W Gao, R Fan…",2022,28,"… power system interarea oscillations. Especially, in some case … an indirect adaptive oscillation damping controller, which … self-damped by the system inertia. When the supplementary …",OMnWbHK28I8J,"R Huang, W Gao, R Fan… - IEEE Transactions on …, 2022 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9780532/,unknown,unknown
Virtual inertia control for damping low-frequency oscillation in IBR-dominated networks,"J Feng, F Bai, M Nadarajah, H Ma…",2025,15,"… damping frequency oscillations is introduced in [25]. The multi-VSG control using adaptive virtual inertia … can be categorized into inter-area oscillation, local-area oscillation, and forced …",nsv2jjdwnyUJ,"J Feng, F Bai, M Nadarajah, H Ma… - IEEE Transactions on …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10848267/,unknown,unknown
Damping inter‐area oscillation using reinforcement learning controlled TCSC,"R Huang, W Gao, R Fan…",2022,22,… inter-area POD controller using the global control signal based on the concept of center of inertia of oscillating … to tune the control parameters so the PSS controllers can be adaptive to …,8JsdhGNAeQkJ,"R Huang, W Gao, R Fan… - … Transmission & Distribution, 2022 - Wiley Online Library",[],https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/gtd2.12441,unknown,unknown
Learning-Based Predictive Virtual Inertia Control for Frequency Regulation in Low Inertia Power Grids,"OE Egbomwan, S Liu, H Chaoui…",2025,3,"… A virtual inertia droop control is proposed in [1], while [2] demonstrates the capability of an adaptive virtual inertia droop control … from poor inter-area oscillation damping capability with …",HK80xhtq174J,"OE Egbomwan, S Liu, H Chaoui… - IEEE Open Journal of …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11286041/,unknown,unknown
STATCOM-based intelligent wide-area controller for damping interarea oscillation,S Ranjbar,2023,18,"… and developed in a center of inertia (COI) frame. The … for damping inter-area oscillation based on CART technique … Li, “Data-driven wide-area model-free adaptive damping control with …",AD2FfMXwFN8J,"S Ranjbar - IEEE Systems Journal, 2023 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10107659/,unknown,unknown
Damping of inter-area oscillations with frequency regulation in power systems considering high penetration of renewable energy sources,"A Prakash, MS El Moursi, SK Parida…",2023,36,"… Also due to high penetration of low inertia renewable energy sources, this problem can … adaptive nature of proposed WADC Dp, oscillations are quickly damped out with very less control …",1DX8Rz3w3KAJ,"A Prakash, MS El Moursi, SK Parida… - IEEE Transactions …, 2023 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10239530/,unknown,unknown
Robust Deep Reinforcement Learning Based Coordinated Wide-Area Damping Control for Multimode Inter-Area Oscillations With Randomly Delayed PMU …,"Q Li, S Liu, C Yang, H Chaoui…",2026,0,"… Li, “Improved data-driven modelfree adaptive damping controller design for interconnected … Chaoui, “Twin delayed deep deterministic policy gradient (TD3) based virtual inertia control …",JVN1ugAFed0J,"Q Li, S Liu, C Yang, H Chaoui… - IEEE Transactions on …, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11423916/,unknown,unknown
Decentralized Model-Reference Adaptive Control Based Algorithm for Power Systems Inter-Area Oscillation Damping,"TPP Banga-Banga, C Kriger, YD Mfoumboulou",2022,0,"… However, with the system inertia being the intrinsic capacity of online … inertia [31]. This is resultant from the inability of these renewable energy sources (RES) to provide sufficient inertia …",S7mt0JN4E0sJ,"TPP Banga-Banga, C Kriger, YD Mfoumboulou - Energies, 2022 - mdpi.com",[],https://www.mdpi.com/1996-1073/15/22/8762,unknown,unknown
Physics Informed Learning-Based Frequency Regulation and Virtual Inertia Control for Renewable Energy Generators in Power Systems,OE Egbomwan,2025,0,… Implement a simultaneous adaptive virtual inertia and damping control for gridconnected variable speed doubly fed induction generator (DFIG) wind turbines to robustly stabilize the …,oiSJYvVODa8J,OE Egbomwan - 2025 - carleton.scholaris.ca,[],https://carleton.scholaris.ca/bitstreams/ccbd55af-6160-4ee7-b9a6-4d03a350bf4c/download,unknown,unknown
Virtual inertia and frequency support in low-inertia systems: bridging the gap between device-level and system-level,D Nouti,2023,0,"… provide a novel adaptive virtual inertia control scheme. This … control and pole placement techniques to improve damping … , including inertia provision and oscillation damping. However, …",aub5psV6WcYJ,D Nouti - 2023 - d-nb.info,[],https://d-nb.info/132774676X/34,unknown,unknown
Inter-area oscillation analysis of power system integrated with virtual synchronous generators,"T Xue, J Zhang, S Bu",2024,37,"… Different results can be caused by a lack of comprehensive analysis on multiple impact factors, such as control parameters. Inappropriate virtual moment of inertia or virtual inertia …",mmtX3-Ra-ugJ,"T Xue, J Zhang, S Bu - IEEE Transactions on Power Delivery, 2024 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10468614/,unknown,unknown
Reinforcement-learning-based damping control scheme of a PV plant in wide-area measurement system,I Abdulrahman,2022,5,… learning control to damp out inter-area oscillations using DDPG approach. The controller is installed at the no-inertia … Adaptive control tunes the unknown parameters using online real-…,u2FF10W0yhUJ,"I Abdulrahman - Electrical Engineering, 2022 - Springer",[],https://link.springer.com/article/10.1007/s00202-022-01615-3,unknown,unknown
Hybrid oscillation damping and inertia management for distributed energy resources,"C Feng, L Huang, X He, Y Wang…",2025,13,"… constraints related to damping and virtual inertia. In Section III, … disturbances, including interarea oscillations and poor frequency … Huang, “Adaptive damping control scheme for wind grid-…",sT1WzEEXHqIJ,"C Feng, L Huang, X He, Y Wang… - IEEE Transactions on …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10971918/,unknown,unknown
Walrus Optimization-Based Adaptive Virtual Inertia Control for Frequency Regulation in Islanded Microgrids,"AB Akinwola, A Alkuhayli",2025,4,"… The figure reveals synchronized stabilization across all generators and load segments, eliminating inter-area oscillations and achieving frequency uniformity throughout the system. The …",68oaGVqB7twJ,"AB Akinwola, A Alkuhayli - Electronics, 2025 - mdpi.com",[],https://www.mdpi.com/2079-9292/14/20/3980,unknown,unknown
