title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Current limiting strategies for grid forming inverters under low voltage ride through,"A Ordoño Murillo, A Sánchez Ruiz…",2024,80,"… ride through events in grid forming inverters. A key contribution of this work is to differentiate between current limiting and transient stability … challenges is the fault ride-through capability, …",9zpF9mVTPCMJ,"A Ordoño Murillo, A Sánchez Ruiz… - Renewable and …, 2024 - addi.ehu.es",[],https://addi.ehu.es/handle/10810/74692,unknown,unknown
Cross-forming control and fault current limiting for grid-forming inverters,"X He, MA Desai, L Huang…",2024,75,"… Moreover, grid-forming inverters should sustain transient stability during grid faults, ensuring … Transient stability is crucial for successful fault ride-through (FRT) and ancillary services …",idl_lXw8VqQJ,"X He, MA Desai, L Huang… - IEEE Transactions on …, 2024 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10755178/,unknown,unknown
"Comprehensive review of fault ride-through techniques for grid-forming inverters: current approaches, challenges, and future directions","AJ Aliyu, R Kannan",2025,8,… a trade-off between fault current limitation and transient stability … fault ride-through techniques represent a crucial evolution in ensuring the reliability and stability of grid-forming inverters. …,u4uT07yv_ioJ,"AJ Aliyu, R Kannan - Engineering Research Express, 2025 - iopscience.iop.org",[],https://iopscience.iop.org/article/10.1088/2631-8695/adc98e/meta,unknown,unknown
Enhanced low-voltage ride-through scheme for grid-forming converters considering current limitation and transient stability simultaneously,"B Li, Y Wang",2025,9,"… According to the conclusions of reference [18], it is necessary to avoid changes in the GFM impedance angle caused by the introduction of virtual impedance during fault ride-through. …",ApcMf3LzmSQJ,"B Li, Y Wang - Sustainability, 2025 - mdpi.com",[],https://www.mdpi.com/2071-1050/17/4/1428,unknown,unknown
Grid-forming nature retaining fault ride-through control,"MA Awal, MRK Rachi, H Yu, S Schröder…",2023,16,"… regard to converter capacity utilization and transient stability. The … nature during fault ride-through is critical for grid stability at … over-current limiting, failure to maximize current capacity …",y5ocWUX5pEwJ,"MA Awal, MRK Rachi, H Yu, S Schröder… - 2023 IEEE Applied …, 2023 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10131145/,unknown,unknown
Enhanced fault ride-through control for grid-forming inverters: comparative analysis and adaptive strategies,"L Yuan, Z Liang, H Han, M Hu, X Liu…",2025,6,"… , especially in maintaining fault ride-through (FRT) … for GFM inverters: additional power control, direct current injection, … for each strategy, the transient stability is thoroughly analyzed, and …",Sp26kaR7tLwJ,"L Yuan, Z Liang, H Han, M Hu, X Liu… - International Journal of …, 2025 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0142061525006143,unknown,unknown
Improved fault ride-through response of grid forming inverters under symmetrical and asymmetrical faults,"I Khan, S Doolla",2024,27,… to understand the fault ride-through behaviour and further improve the transient stability of the … A survey of the literature reveals that the current research on current limiting algorithms is …,GEK9nAz_RwAJ,"I Khan, S Doolla - IEEE Transactions on Energy Conversion, 2024 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10571387/,unknown,unknown
Grid-connected converter with grid-forming and grid-following modes presenting symmetrical and asymmetrical fault ride-through capability,"D Ríos-Castro, D Pérez-Estévez…",2024,53,"… current limitation, transient stability problems arise [17]… because the power delivery capacity of the converter is … strategy with current limiting for the fault ridethrough of inverter-interfaced …",uPhDGs0-LmwJ,"D Ríos-Castro, D Pérez-Estévez… - IEEE Journal of …, 2024 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10409165/,unknown,unknown
Provably-stable overload ride-through control for grid-forming inverters using system-wide Lyapunov function analysis,"PJ Hart, M Gong, H Liu, Z Chen…",2022,29,"… of grid-forming inverters that takes both self-protection and system-wide transient stability into … question, while using virtual impedance for current limiting. However, for either of these …",SBZigleB7KEJ,"PJ Hart, M Gong, H Liu, Z Chen… - IEEE Transactions on …, 2022 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9887808/,unknown,unknown
Fault Ride-Through Strategy of Grid-Forming Converters Based on Two Stage Virtual Admittance Control: Enhancing Transient Stability and Grid Support Capability,"M Liu, W Xie, J Gao, Q Wang, W Wang, G Dong…",2025,2,"… this paper proposes a systematic fault ride-through control strategy capable of rapid current … faults from four key aspects: reliable fault-current limiting, TSS, maximum reactive …",m6EAMSYEcQ4J,"M Liu, W Xie, J Gao, Q Wang, W Wang, G Dong… - IEEE …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11317960/,unknown,unknown
Adaptive Grid-Forming Control with Hybrid Fault Ride-Through for Transient Stability in Inverter-Dominant Microgrids,"MS Hossain, AA Asif, T Ahmed…",2026,0,"… Finally, a fault-tolerant currentlimiting strategy was designed … A current-limiting control method with enhanced dynamic … fault ride-through capability and improving converter stability …",1VXlqbzJQbIJ,"MS Hossain, AA Asif, T Ahmed… - 2026 IEEE Texas …, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11513209/,unknown,unknown
A fault ride-through strategy for grid-forming converters under symmetrical and asymmetrical grid faults,"X Zhao, X Kestelyn, D Flynn",2024,17,"… maintain grid-forming converter (GFM) voltage source behaviour under current limiting mode… is necessary, the paper also compares GFM dynamic stability under the three well-known …",GNdSDOOMOtcJ,"X Zhao, X Kestelyn, D Flynn - Electric Power Systems Research, 2024 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0378779624005583,unknown,unknown
Design of an optimal adoptive fault ride through scheme for overcurrent protection of grid-forming inverter-based resources under symmetrical faults,"SU Islam, S Kim",2023,6,"… Furthermore, the power system stability should not be … fault ride through (FRT) scheme for grid-forming inverters under … Evaluation of current limiting methods for grid forming inverters in …",qTT_EqZ200gJ,"SU Islam, S Kim - Sustainability, 2023 - mdpi.com",[],https://www.mdpi.com/2071-1050/15/8/6705,unknown,unknown
