title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Grid forming inverters: A review of the state of the art of key elements for microgrid operation,"S Anttila, JS Döhler, JG Oliveira, C Boström",2022,178,"… grid-forming inverters in the power system, including their topology, control strategies, challenges… Due to changes in the traditional electric system, increasingly dominated by Distributed …",Y_Du10xRLK8J,"S Anttila, JS Döhler, JG Oliveira, C Boström - Energies, 2022 - mdpi.com",[],https://www.mdpi.com/1996-1073/15/15/5517,unknown,unknown
The dual role of grid-forming inverters: power electronics innovations and power system stability,M Alharbi,2026,4,"… significant challenges in stability, reliability, and protection coordination. Grid-forming inverters … standards-aligned grid-forming inverter deployment in inverter-dominated power systems. …",Dvrfocnux-IJ,"M Alharbi - Electronics, 2026 - mdpi.com",[],https://www.mdpi.com/2079-9292/15/5/1115,unknown,unknown
A comprehensive review on grid-forming inverter: potential and future trends,"S YUSUF, A ABUBAKAR",2023,13,"… ) to the inverter-dominated DGs/RESs, has come with challenges of low inertia and damping effect on the dynamic stability performance of the grid. The aforementioned issues is also …",89AZvFO7Q-0J,"S YUSUF, A ABUBAKAR - Majlesi Journal of Electrical …, 2023 - mjee.isfahan.iau.ir",[],https://mjee.isfahan.iau.ir/article_698348_697b3e14c20d375eb53847db8ee4fc51.pdf,unknown,unknown
Control and stability of grid-forming inverters: A comprehensive review,"M Mirmohammad, SP Azad",2024,84,"… While grid-following inverters (GFLIs) dominate current inverter configurations, their … grid can result in major stability issues. In contrast, grid-forming inverters (GFMIs) excel over GFLIs …",PIyZfQi5sZQJ,"M Mirmohammad, SP Azad - Energies, 2024 - mdpi.com",[],https://www.mdpi.com/1996-1073/17/13/3186,unknown,unknown
Grid-forming control: Advancements towards 100% inverter-based grids—A review,"E Ebinyu, O Abdel-Rahim, DEA Mansour, M Shoyama…",2023,69,… The grid-forming (GFM) control paradigm of inverters in active … of the diminishing dominance of synchronous generators (SGs… Some challenges faced with low-inertia grids dominated by …,FhQaF9cCPAsJ,"E Ebinyu, O Abdel-Rahim, DEA Mansour, M Shoyama… - Energies, 2023 - mdpi.com",[],https://www.mdpi.com/1996-1073/16/22/7579,unknown,unknown
"Grid-Forming Inverters in Photovoltaic Power Systems: A Comprehensive Review of Modeling, Control, and Stability Perspectives","Y Hakam, M Tabaa",2026,2,"… In summary, grid-forming inverters … gridforming (GFM) control strategies alone can fully address the stability, synchronization, and protection challenges of modern inverter-dominated …",R9MqtgHW5DUJ,"Y Hakam, M Tabaa - Energies, 2026 - researchgate.net",[],https://www.researchgate.net/profile/Youness-Hakam-2/publication/401466169_Grid-Forming_Inverters_in_Photovoltaic_Power_Systems_A_Comprehensive_Review_of_Modeling_Control_and_Stability_Perspectives/links/69a6b4eb43ad5e30a854cc2d/Grid-Forming-Inverters-in-Photovoltaic-Power-Systems-A-Comprehensive-Review-of-Modeling-Control-and-Stability-Perspectives.pdf,unknown,unknown
An overview of stability challenges for power‐electronic‐dominated power systems: The grid‐forming approach,"B Shakerighadi, N Johansson…",2023,141,… technical challenges regarding the control … converter manufacturers’ perspectives is not discussed in detail. This paper reviews the technical challenges of power-electronic-dominated …,pWy3OC3KjpQJ,"B Shakerighadi, N Johansson… - IET Generation …, 2023 - Wiley Online Library",[],https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/gtd2.12430,unknown,unknown
"Grid‐forming control for inverter‐based resources in power systems: A review on its operation, system stability, and prospective","M Khan, W Wu, L Li",2024,126,"… to make one complete control, which performs multiple tasks like frequency and voltage … regardless of controls like excitation and governor behaviour due to the dominance of …",W6KAXTBf03sJ,"M Khan, W Wu, L Li - IET Renewable Power Generation, 2024 - Wiley Online Library",[],https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/rpg2.12991,unknown,unknown
Protection in Inverter-Dominated Grids: Fault Behavior of Grid-Following vs. Grid-Forming Inverters and Mixed Architectures—A Review,"M Nurunnabi, S Li",2026,5,"… new challenges for protection. Unlike synchronous generators, many IBRs are interfaced through grid-following (GFL) inverters that operate as controlled … grid-forming (GFM) inverters …",kjD1dUREPbgJ,"M Nurunnabi, S Li - Energies, 2026 - mdpi.com",[],https://www.mdpi.com/1996-1073/19/3/684,unknown,unknown
Grid-forming converters for stability issues in future power grids,"SA Khan, M Wang, W Su, G Liu, S Chaturvedi",2022,114,"… (especially large-signal stability) in modern/future RES-dominated low-inertia grids, this article provided a comprehensive analysis and investigation into leveraging the superior …",yAKAC3tZeOEJ,"SA Khan, M Wang, W Su, G Liu, S Chaturvedi - Energies, 2022 - mdpi.com",[],https://www.mdpi.com/1996-1073/15/14/4937,unknown,unknown
