bank,profile_id,split,baseline_m0_s,baseline_d0_pu,steady_loads_system_pu,common_input_system_pu,differential_input_system_pu,localized_location,localized_input_system_pu
deterministic_comparator,dev_a,development,"[160.0,240.0,180.0,220.0]","[70.0,130.0,90.0,110.0]","{""PQ_Bus14"":2.28,""PQ_Bus15"":0.2}","[0.2,0.2,0.2,0.2]","[0.2,0.2,-0.2,-0.2]",PQ_0,"{""PQ_0"":0.9}"
deterministic_comparator,dev_b,development,"[220.0,180.0,240.0,160.0]","[110.0,90.0,130.0,70.0]","{""PQ_Bus14"":2.08,""PQ_Bus15"":0.6}","[0.25,0.25,0.25,0.25]","[0.25,0.25,-0.25,-0.25]",PQ_Bus14,"{""PQ_Bus14"":1.1}"
deterministic_comparator,eval_a,evaluation,"[150.0,250.0,190.0,210.0]","[60.0,140.0,80.0,120.0]","{""PQ_Bus14"":2.48,""PQ_Bus15"":0.3}","[0.225,0.225,0.225,0.225]","[0.225,0.225,-0.225,-0.225]",PQ_1,"{""PQ_1"":1.0}"
deterministic_comparator,eval_b,evaluation,"[250.0,150.0,210.0,190.0]","[140.0,60.0,120.0,80.0]","{""PQ_Bus14"":2.18,""PQ_Bus15"":0.1}","[0.175,0.175,0.175,0.175]","[0.175,0.175,-0.175,-0.175]",PQ_Bus15,"{""PQ_Bus15"":0.8}"
deterministic_comparator,eval_c,evaluation,"[170.0,230.0,250.0,150.0]","[75.0,125.0,145.0,55.0]","{""PQ_Bus14"":1.88,""PQ_Bus15"":0.6}","[0.275,0.275,0.275,0.275]","[0.275,0.275,-0.275,-0.275]",PQ_0,"{""PQ_0"":1.2}"
deterministic_comparator,eval_d,evaluation,"[230.0,170.0,150.0,250.0]","[125.0,75.0,55.0,145.0]","{""PQ_Bus14"":2.38,""PQ_Bus15"":0.3}","[0.2,0.2,0.2,0.2]","[0.2,0.2,-0.2,-0.2]",PQ_Bus14,"{""PQ_Bus14"":0.9}"
learner_confirmatory,canary_dev_a,development,"[150.0,250.0,170.0,230.0]","[60.0,140.0,80.0,120.0]","{""PQ_Bus14"":2.24,""PQ_Bus15"":0.42}","[0.2125,0.2125,0.2125,0.2125]","[0.2125,0.2125,-0.2125,-0.2125]",PQ_1,"{""PQ_1"":0.95}"
learner_confirmatory,canary_dev_b,development,"[230.0,150.0,250.0,170.0]","[120.0,60.0,140.0,80.0]","{""PQ_Bus14"":2.02,""PQ_Bus15"":0.66}","[0.2625,0.2625,0.2625,0.2625]","[0.2625,0.2625,-0.2625,-0.2625]",PQ_Bus15,"{""PQ_Bus15"":1.15}"
learner_confirmatory,canary_dev_c,development,"[210.0,190.0,160.0,240.0]","[130.0,70.0,110.0,90.0]","{""PQ_Bus14"":2.42,""PQ_Bus15"":0.14}","[0.1875,0.1875,0.1875,0.1875]","[0.1875,0.1875,-0.1875,-0.1875]",PQ_0,"{""PQ_0"":0.85}"
learner_confirmatory,canary_dev_d,development,"[240.0,160.0,190.0,210.0]","[90.0,110.0,70.0,130.0]","{""PQ_Bus14"":2.12,""PQ_Bus15"":0.54}","[0.2375,0.2375,0.2375,0.2375]","[0.2375,0.2375,-0.2375,-0.2375]",PQ_Bus14,"{""PQ_Bus14"":1.05}"
learner_confirmatory,canary_eval_a,evaluation,"[140.0,260.0,200.0,220.0]","[50.0,150.0,90.0,130.0]","{""PQ_Bus14"":2.56,""PQ_Bus15"":0.34}","[0.225,0.225,0.225,0.225]","[0.225,0.225,-0.225,-0.225]",PQ_0,"{""PQ_0"":1.0}"
learner_confirmatory,canary_eval_b,evaluation,"[260.0,140.0,220.0,200.0]","[150.0,50.0,130.0,90.0]","{""PQ_Bus14"":2.06,""PQ_Bus15"":0.26}","[0.2,0.2,0.2,0.2]","[0.2,0.2,-0.2,-0.2]",PQ_Bus14,"{""PQ_Bus14"":0.9}"
learner_confirmatory,canary_eval_c,evaluation,"[180.0,240.0,150.0,210.0]","[70.0,130.0,60.0,110.0]","{""PQ_Bus14"":1.96,""PQ_Bus15"":0.64}","[0.25,0.25,0.25,0.25]","[0.25,0.25,-0.25,-0.25]",PQ_Bus15,"{""PQ_Bus15"":1.1}"
learner_confirmatory,canary_eval_d,evaluation,"[220.0,200.0,260.0,140.0]","[110.0,90.0,150.0,50.0]","{""PQ_Bus14"":2.32,""PQ_Bus15"":0.46}","[0.275,0.275,0.275,0.275]","[0.275,0.275,-0.275,-0.275]",PQ_1,"{""PQ_1"":1.2}"
