stage,arm,actor_source,critic_source,reward_access,seed,profile,disturbance_differential_energy,off_diagonal_response_energy,source_sha256
half,an_cn_r0,N,N,0,401,canary_eval_a,0.0003524534085770438,6.47176387358027e-05,e97cc24ae7969f92eed72d11b4abc381625020665487b6f0827fc6b0cb29cb52
half,an_cn_r0,N,N,0,401,canary_eval_b,0.000520594848952936,5.8297301083284085e-05,410c7e7023dbe14dee8c089943d22d718f01825f8435a6898500c1434770ecc4
half,an_cn_r0,N,N,0,401,canary_eval_c,0.0006013418034281677,7.263311128721564e-05,6a6cff08654167f45ecb9706f1f93fd496abd719a012e2bcc2b1b1bf40dbf819
half,an_cn_r0,N,N,0,401,canary_eval_d,0.00022266457704322274,9.097605161170332e-05,d784c72525abaf6a0e6761b2ebbccc461ad4099a29071fb36e08e0660157915d
half,an_cn_r0,N,N,0,402,canary_eval_a,0.0003110026431294658,0.00013124080480967653,180faf57ceb0fdcbd5408bea8e6da3e4a36eee879136db5ef4cd29be2c2c951d
half,an_cn_r0,N,N,0,402,canary_eval_b,0.0008200709253153398,0.00014923042476214219,971a645681a5731b90b5e4c0b6b4aa5962481d34201bd88b80b950d78dd57c06
half,an_cn_r0,N,N,0,402,canary_eval_c,0.001122197225646459,0.00018261859855360285,3132618cd2e7d706b18b69e05aba66c76ee29aa350a0986919cc20bd44943f32
half,an_cn_r0,N,N,0,402,canary_eval_d,0.0004987430135717899,0.000247846823497688,0c00103bf75fdd6ff009b6714d4dab27726b4b7e74770aa9d0f7f16cff1d4227
half,an_cn_r0,N,N,0,403,canary_eval_a,0.00040286057920000404,6.5087836837202e-05,9427bd097c18eacbdad101e9c01575d85172e2075854280d8142ffa1d8935100
half,an_cn_r0,N,N,0,403,canary_eval_b,0.000799602558491713,0.00010117256667943256,bb44259db0b5c38295f134cfc0de61eb2559c92b439fa6a0d3d1b5371803a2ab
half,an_cn_r0,N,N,0,403,canary_eval_c,0.0008390971526890322,9.250051168787149e-05,644608aeadeb5e490e017a8a0d79ecf2bbd73b47bf330cb18f215a95134fdc87
half,an_cn_r0,N,N,0,403,canary_eval_d,0.00038324353397642635,9.699409262923748e-05,9c9d4ebb531d30a01e649d0ca4081f6ea56f3e0deafd7454f6ce7f35b8fca06b
half,an_cn_r0,N,N,0,404,canary_eval_a,0.00037489592265263385,0.00013054757990077373,87f959a6ba13e92a2eb064b7f817dc0fc3efc6a4681df38bcbe78fdfc9b92271
