source_round,arm,seed,interaction_steps,valid,actor_source,critic_source,reward_access,base_state_sha256,reward_function_sha256,manifest_sha256,half_checkpoint_sha256,final_checkpoint_sha256,curves_sha256,same_inode,source_manifest_path,target_manifest_path
R476,an_cn_r0,401,43200,True,N,N,False,8d2907db8f0be83e3f3cc593e3f453d7d27c6ada18ee3fd72ffbdfc8377e05c5,085ad375c203352d72e58847ca7b01297415b214adf41196dcb7783c7adb7bd9,db259904eed00a1d46818041058d3397a1f2453ca48c6b9adf080b4e474359db,0b3bd9a93cc22e6381cfb884618293ea8ae894581b6fc9dbf8dac53753a71204,6272e6a0812f68a2f0bd149cc146e09773256f1e2357e2b1410621925ee3abc0,97e06e5d3c7a5f27f6dc07b299f818dccfa3fb609fc1bb1b20af5e8a6bd3d508,True,results/research_loop/r476_u2_confirmatory/train/an_cn_r0/seed401/manifest.json,results/research_loop/r477_u2_confirmatory/train/an_cn_r0/seed401/manifest.json
R476,an_cn_r0,402,43200,True,N,N,False,678df184584b6332ef42f4dbc299f82867ff99919ec755f368845c7ac1665642,085ad375c203352d72e58847ca7b01297415b214adf41196dcb7783c7adb7bd9,3977ee8a2f5a12ceaba21f59fa6b8d28e856d2bbe37e994cea4d055336588667,f145c94c00fb4370087d73a5de0167f24148f5f9bd9bd42701390e8b873d1595,8f83bebcd27f521dfe0dcff1f733f4798bec2aae8ee17c2ca335182e8e6f0e46,2e0b878074c11ebadef9beff44153ab3daf548dfe1e85ea8a99f4672466c754f,True,results/research_loop/r476_u2_confirmatory/train/an_cn_r0/seed402/manifest.json,results/research_loop/r477_u2_confirmatory/train/an_cn_r0/seed402/manifest.json
R476,an_cn_r0,403,43200,True,N,N,False,6c5815bf3f703d715e19c5b31a573bc215b467df10ce78966cf28bdd2925cea5,085ad375c203352d72e58847ca7b01297415b214adf41196dcb7783c7adb7bd9,58b79c92fb5dd9c7141071a14b5952cb19f7d93ec6f383746c7859fbec026dc8,e7acd2ea716afa53bac8dc6f7fb2fc48ec82d461d1ad186e7665cd9c5bef003c,372e363cbeb7f45c5b013902679899081c83f158c8a2902e14ab676d0be00908,8664d54c45993786f795d787694214c5879b8bd7a34e176f8188c645eeee7db8,True,results/research_loop/r476_u2_confirmatory/train/an_cn_r0/seed403/manifest.json,results/research_loop/r477_u2_confirmatory/train/an_cn_r0/seed403/manifest.json
R476,an_cn_r0,404,43200,True,N,N,False,3b6ba57ab164599b82beb036aba8506a4369f279de2e7b457a709ff48e665995,085ad375c203352d72e58847ca7b01297415b214adf41196dcb7783c7adb7bd9,bf5b86eced52c90aad12e22c7f033735066cc395b162c31a0127e1bf113f06b0,0b035960c36b2c38888acfeaed8776942bee7179d831859ce1412b3cc73e94c2,f2626d5e7c3decc7a1d0a61faad441089b05c49399b91842394c9a51822b87b8,0be1facb13a4cb1399e658292c9b4845bf5b9ffee2845bb9bf88627f44f0788b,True,results/research_loop/r476_u2_confirmatory/train/an_cn_r0/seed404/manifest.json,results/research_loop/r477_u2_confirmatory/train/an_cn_r0/seed404/manifest.json
R476,an_cn_r0,405,43200,True,N,N,False,b6bf8d4c01fca7b36db1ce3a43e638deb6d31f39879e1ce5da7fa446e4b45392,085ad375c203352d72e58847ca7b01297415b214adf41196dcb7783c7adb7bd9,4e9f8b180ef7fbd5cd6606d2ce6725ef9ef517b194b8cbdbfbc2bd98f719eb04,f241a2bf841691b4f7c55135a8198fc0ea941a054ef92e4d39b73bfae9bc5efe,2817dc568ece46c0becf4ed278161ece5e0b8b141a163bb1ca2ec1accd845c01,7daec66976ee2240160b9ec9d04cbb9e39496d784b8bfc8b1f39efbd75b086e3,True,results/research_loop/r476_u2_confirmatory/train/an_cn_r0/seed405/manifest.json,results/research_loop/r477_u2_confirmatory/train/an_cn_r0/seed405/manifest.json
R476,an_cn_r0,406,43200,True,N,N,False,bc98a52a4b47058a616f0ca41bd3a4b4b1277757eef164dc9df05c9c5c105b88,085ad375c203352d72e58847ca7b01297415b214adf41196dcb7783c7adb7bd9,630bbe1f3ae0ab33b6cf4f2ce15a7eb8922a9b23b3492ed4e4178f489db2247c,22360f1f31f6395ce2e59c6056a8d061aec0a7cab974bcf1827bab1f61706e29,ab8ee712e2fd9aedf88e5aba5a6c6ed75723cfd3192faa6dd909d4038fe16da8,077c7c0bbfc7e18af9d6b2d39ff51abde454386c410b72e297c42a3aad6b4f82,True,results/research_loop/r476_u2_confirmatory/train/an_cn_r0/seed406/manifest.json,results/research_loop/r477_u2_confirmatory/train/an_cn_r0/seed406/manifest.json
R476,an_cn_r1,401,43200,True,N,N,True,8d2907db8f0be83e3f3cc593e3f453d7d27c6ada18ee3fd72ffbdfc8377e05c5,085ad375c203352d72e58847ca7b01297415b214adf41196dcb7783c7adb7bd9,e355f462cfbe4c1c90082ccf4ae8dcda646ba5ae4e1ff320a0d4ddfdfddb1a14,c5dffa6b76b60a73ad9e6cfc232406d3c82d3e6476d3e1d44fb1c9e6c71baf41,123e95184f02c0c4309fe8f757645ee93167dec620f67eae4abf6762a547611f,342d1df81198574144d8af974cd02dfade09b2b0d5852b389fe9d0720455c9d6,True,results/research_loop/r476_u2_confirmatory/train/an_cn_r1/seed401/manifest.json,results/research_loop/r477_u2_confirmatory/train/an_cn_r1/seed401/manifest.json
R476,an_cn_r1,402,43200,True,N,N,True,678df184584b6332ef42f4dbc299f82867ff99919ec755f368845c7ac1665642,085ad375c203352d72e58847ca7b01297415b214adf41196dcb7783c7adb7bd9,c27fb832f8e4075eb954ddce3c7f1886c8e34b21ed2f37be7c083f9d6be56b5c,29492b525885b919753d63654fb85d40da444023fa8610318ca57d46cb2d1000,27a555c096504ce3eb9da5a85638d39eb561f20b75a76b898c5013c595e6fc92,5e49210844825f0f8c3451135c56aa7d0f12fb9d53d014359903c4d14024de2b,True,results/research_loop/r476_u2_confirmatory/train/an_cn_r1/seed402/manifest.json,results/research_loop/r477_u2_confirmatory/train/an_cn_r1/seed402/manifest.json
R476,an_cn_r1,403,43200,True,N,N,True,6c5815bf3f703d715e19c5b31a573bc215b467df10ce78966cf28bdd2925cea5,085ad375c203352d72e58847ca7b01297415b214adf41196dcb7783c7adb7bd9,f91244101be9a9e7c2515ffb6ff58f971cea4b8c0fdea13edd8cf90f37e3f53a,c026fb68c495efdd0e91107df2722447077637e7f0d0e8c4af961f474b709071,b10e4b31672d090b4ff9165914ecbb9e8261045302390d8f1b476794e6ad3171,60f1eb45abd4fbdeddc808b3f8c81fe913ffd705d4ed3e4d5fa3d91cf2751a51,True,results/research_loop/r476_u2_confirmatory/train/an_cn_r1/seed403/manifest.json,results/research_loop/r477_u2_confirmatory/train/an_cn_r1/seed403/manifest.json
R476,an_cn_r1,404,43200,True,N,N,True,3b6ba57ab164599b82beb036aba8506a4369f279de2e7b457a709ff48e665995,085ad375c203352d72e58847ca7b01297415b214adf41196dcb7783c7adb7bd9,19596ac1226e06dae654d6abcdceff7cc4267881a303bb261a904b1310f3d77a,d0188362d4e4af2d5e74f9af723cdb40ef20fdd6cb745bd7ce11efe48ee54b7b,a6571289f916ae274bfc0c45ef00e45e85b62f3d585cf77d2f8679a617bc3899,3bf466585c35df3b5715c270042e1596b77681ea195f73011824f6546e768b69,True,results/research_loop/r476_u2_confirmatory/train/an_cn_r1/seed404/manifest.json,results/research_loop/r477_u2_confirmatory/train/an_cn_r1/seed404/manifest.json
