stage,contrast,condition,seed,matched_profile_contrasts,mean_log_effect,signed_geometric_effect
half,actor_source_P_over_N,critic_source=N,401,8,0.11345769456220078,0.12014449968651936
half,actor_source_P_over_N,critic_source=P,401,8,-0.1554687839151665,-0.143986202088801
half,critic_source_P_over_N,reward_access=0,401,8,0.005806996481231605,0.005823889769222693
half,critic_source_P_over_N,reward_access=1,401,8,-0.007926970278557662,-0.007895634703050658
half,actor_source_P_over_N,critic_source=N,402,8,-0.4719523784236478,-0.37621678224941774
half,actor_source_P_over_N,critic_source=P,402,8,0.10952342997450396,0.11574621253421065
half,critic_source_P_over_N,reward_access=0,402,8,0.2206230261325,0.24685331084341375
half,critic_source_P_over_N,reward_access=1,402,8,0.2760609990475159,0.31792825394360913
half,actor_source_P_over_N,critic_source=N,403,8,0.039436150713916596,0.04022407919973211
half,actor_source_P_over_N,critic_source=P,403,8,-0.4045496162421067,-0.33272272596223457
half,critic_source_P_over_N,reward_access=0,403,8,0.004979212468107619,0.004991629346713701
half,critic_source_P_over_N,reward_access=1,403,8,0.3480120538072108,0.41624932083341315
half,actor_source_P_over_N,critic_source=N,404,8,0.10015868830398617,0.10534630969018274
half,actor_source_P_over_N,critic_source=P,404,8,-0.3825594774516857,-0.31788668059208186
half,critic_source_P_over_N,reward_access=0,404,8,0.39011803533384604,0.47715514009303683
half,critic_source_P_over_N,reward_access=1,404,8,0.44381766315041915,0.5586462610615444
half,actor_source_P_over_N,critic_source=N,405,8,-0.015519571337258176,-0.015399763380132894
half,actor_source_P_over_N,critic_source=P,405,8,-0.4025060741705375,-0.3313577225333975
half,critic_source_P_over_N,reward_access=0,405,8,0.34774090813262126,0.41586536301253246
half,critic_source_P_over_N,reward_access=1,405,8,0.3862651203604898,0.47147473701794207
half,actor_source_P_over_N,critic_source=N,406,8,-0.1474613692484778,-0.1371042280103238
half,actor_source_P_over_N,critic_source=P,406,8,-0.08588674650258414,-0.08230184213903803
half,critic_source_P_over_N,reward_access=0,406,8,-0.10346171022173034,-0.09828945162217746
half,critic_source_P_over_N,reward_access=1,406,8,0.22991326038217808,0.2584908441801921
final,actor_source_P_over_N,critic_source=N,401,8,0.19167905916253106,0.21128170481063602
final,actor_source_P_over_N,critic_source=P,401,8,-0.19770530089489124,-0.17938834897353031
final,critic_source_P_over_N,reward_access=0,401,8,-0.13054273497698599,-0.12238101287987814
final,critic_source_P_over_N,reward_access=1,401,8,-0.010654903412798358,-0.010598340996701379
final,actor_source_P_over_N,critic_source=N,402,8,-0.10799556036479563,-0.1023684184216413
final,actor_source_P_over_N,critic_source=P,402,8,-0.17377162057551315,-0.15951117390426442
final,critic_source_P_over_N,reward_access=0,402,8,0.0839160697886348,0.08753761271655615
final,critic_source_P_over_N,reward_access=1,402,8,0.1624217643824511,0.17635628188829777
final,actor_source_P_over_N,critic_source=N,403,8,0.11058537670530334,0.11693170493049078
final,actor_source_P_over_N,critic_source=P,403,8,-0.1712655199099084,-0.15740218272945933
final,critic_source_P_over_N,reward_access=0,403,8,-0.249651110653049,-0.22092745422718538
final,critic_source_P_over_N,reward_access=1,403,8,0.2805722457345827,0.3238871844096475
final,actor_source_P_over_N,critic_source=N,404,8,0.19280020229764827,0.2126404865307483
final,actor_source_P_over_N,critic_source=P,404,8,0.0649278492734541,0.06708203086284595
final,critic_source_P_over_N,reward_access=0,404,8,-0.09156781345276825,-0.08750056568346562
final,critic_source_P_over_N,reward_access=1,404,8,0.21365186459615038,0.23819152144605382
final,actor_source_P_over_N,critic_source=N,405,8,0.15794220184016805,0.17109850541293517
final,actor_source_P_over_N,critic_source=P,405,8,-0.3389896155268668,-0.2875101521175416
final,critic_source_P_over_N,reward_access=0,405,8,-0.02739399221975922,-0.027022179694390566
final,critic_source_P_over_N,reward_access=1,405,8,0.22987116635199695,0.25843787034356336
final,actor_source_P_over_N,critic_source=N,406,8,0.2519575938056474,0.28654147880004727
final,actor_source_P_over_N,critic_source=P,406,8,-0.27793356795648294,-0.2426528680391679
final,critic_source_P_over_N,reward_access=0,406,8,-0.04314459113450553,-0.04222710541476418
final,critic_source_P_over_N,reward_access=1,406,8,0.112546055996406,0.11912379808750397
half,actor_source_P_over_N,critic_source=N,across_seed_mean,8,-0.0636467975715467,-0.06166363630966685
half,actor_source_P_over_N,critic_source=P,across_seed_mean,8,-0.2202412113845961,-0.19767475536337112
half,critic_source_P_over_N,reward_access=0,across_seed_mean,8,0.14430107805442938,0.1552318711346177
half,critic_source_P_over_N,reward_access=1,across_seed_mean,8,0.27935702107820937,0.3222793412041176
final,actor_source_P_over_N,critic_source=N,across_seed_mean,8,0.13282814557441708,0.14205371448016627
final,actor_source_P_over_N,critic_source=P,across_seed_mean,8,-0.1824562959317014,-0.16677894171736402
final,critic_source_P_over_N,reward_access=0,across_seed_mean,8,-0.0763973621080722,-0.0735520019213577
final,critic_source_P_over_N,reward_access=1,across_seed_mean,8,0.16473469894146478,0.179080265970484
