stage,reward_access,factor,seed,matched_profile_contrasts,mean_log_effect,signed_geometric_effect
half,0,actor,401,8,0.05371068162751655,0.055179275238276294
half,0,actor,402,8,-0.34763501869134583,-0.29364336385781914
half,0,actor,403,8,-0.21000724954175626,-0.18942163037285062
half,0,actor,404,8,-0.20365601995759644,-0.18425707778247644
half,0,actor,405,8,-0.21634093450860017,-0.19453935427318675
half,0,actor,406,8,-0.21218409224023693,-0.19118421284990114
half,0,critic,401,8,0.005806996481231605,0.005823889769222693
half,0,critic,402,8,0.2206230261325,0.24685331084341375
half,0,critic,403,8,0.004979212468107619,0.004991629346713701
half,0,critic,404,8,0.39011803533384604,0.47715514009303683
half,0,critic,405,8,0.34774090813262126,0.41586536301253246
half,0,critic,406,8,-0.10346171022173034,-0.09828945162217746
half,1,actor,401,8,-0.09572177098048226,-0.09128318771284469
half,1,actor,402,8,-0.014793929757797974,-0.01468503722314838
half,1,actor,403,8,-0.15510621598643387,-0.14367578266846318
half,1,actor,404,8,-0.07874476919010312,-0.07572420199680084
half,1,actor,405,8,-0.2016847109991955,-0.18264741039756077
half,1,actor,406,8,-0.021164023510824984,-0.020941637191383103
half,1,critic,401,8,-0.007926970278557662,-0.007895634703050658
half,1,critic,402,8,0.2760609990475159,0.31792825394360913
half,1,critic,403,8,0.3480120538072108,0.41624932083341315
half,1,critic,404,8,0.44381766315041915,0.5586462610615444
half,1,critic,405,8,0.3862651203604898,0.47147473701794207
half,1,critic,406,8,0.22991326038217808,0.2584908441801921
final,0,actor,401,8,-0.041009524523238604,-0.04018001192351831
final,0,actor,402,8,-0.05550833281394558,-0.05399585923890542
final,0,actor,403,8,0.016995669537306142,0.01714091762490539
final,0,actor,404,8,-0.10301889033528769,-0.09789006783852604
final,0,actor,405,8,-0.08552142638198203,-0.08196652729243105
final,0,actor,406,8,-0.19897401900122796,-0.18042881366569655
final,0,critic,401,8,-0.13054273497698599,-0.12238101287987814
final,0,critic,402,8,0.0839160697886348,0.08753761271655615
final,0,critic,403,8,-0.249651110653049,-0.22092745422718538
final,0,critic,404,8,-0.09156781345276825,-0.08750056568346562
final,0,critic,405,8,-0.02739399221975922,-0.027022179694390566
final,0,critic,406,8,-0.04314459113450553,-0.04222710541476418
final,1,actor,401,8,0.03498328279087842,0.035602396273089795
final,1,actor,402,8,-0.2262588481263632,-0.20248835944811888
final,1,actor,403,8,-0.0776758127419112,-0.0747356631642689
final,1,actor,404,8,0.3607469419063901,0.43440042830846726
final,1,actor,405,8,-0.09552598730471677,-0.09110525837784395
final,1,actor,406,8,0.1729980448503924,0.18886378067520562
final,1,critic,401,8,-0.010654903412798358,-0.010598340996701379
final,1,critic,402,8,0.1624217643824511,0.17635628188829777
final,1,critic,403,8,0.2805722457345827,0.3238871844096475
final,1,critic,404,8,0.21365186459615038,0.23819152144605382
final,1,critic,405,8,0.22987116635199695,0.25843787034356336
final,1,critic,406,8,0.112546055996406,0.11912379808750397
