arm,seed,mean_abs_action,fraction_at_slew_limit,mean_abs_action_ratio_vs_det,slew_limit_fraction_ratio_vs_det
deterministic,,0.07912,0.00417,1.0,1.0
scalar TD3,401.0,0.10181,0.00191,1.2867795753286149,0.4580335731414868
scalar TD3,402.0,0.17967,0.03108,2.2708543983822045,7.453237410071942
scalar TD3,403.0,0.19508,0.14722,2.4656218402426697,35.304556354916066
"CD-MATD3, no message",401.0,0.29036,0.06354,3.669868554095046,15.237410071942445
"CD-MATD3, no message",402.0,0.31503,0.10156,3.9816734074823055,24.35491606714628
"CD-MATD3, no message",403.0,0.48652,0.15208,6.149140546006067,36.47002398081535
"CD-MATD3, message",401.0,0.37032,0.19115,4.680485338725986,45.83932853717026
"CD-MATD3, message",402.0,0.36922,0.125,4.666582406471183,29.976019184652277
"CD-MATD3, message",403.0,0.37517,0.16302,4.741784630940344,39.093525179856115
