arm,seed,total_common_cost,frequency_only_differential_total,common_cost_ratio_vs_det,frequency_only_diff_ratio_vs_det
deterministic,,29.583,0.9463,1.0,1.0
scalar TD3,401.0,50.6414,2.6066,1.7118412601832134,2.754517594843073
scalar TD3,402.0,57.0102,4.099,1.9271270662204645,4.331607312691536
scalar TD3,403.0,50.1612,3.4601,1.695608964608052,3.656451442460108
"CD-MATD3, no message",401.0,39.3268,2.9558,1.329371598553223,3.123533763077248
"CD-MATD3, no message",402.0,48.7599,4.5942,1.6482405435554206,4.854908591355806
"CD-MATD3, no message",403.0,42.1967,5.5827,1.4263833958692493,5.899503328754094
"CD-MATD3, message",401.0,52.4801,4.4146,1.773995199945915,4.665116770580155
"CD-MATD3, message",402.0,65.1755,5.9776,2.2031403170739954,6.316812850047553
"CD-MATD3, message",403.0,42.4072,4.0915,1.4334989690024678,4.323681707703688
