matrix,row,col,value
A_reduced,0,0,-1.3
A_reduced,0,1,0.48
A_reduced,1,0,0.30000000000000004
A_reduced,1,1,-0.76
B_u_reduced,0,0,-0.8999999999999999
B_u_reduced,1,0,0.30000000000000004
A_closed_loop_state_feedback,0,0,-1.6600000000000001
A_closed_loop_state_feedback,0,1,0.6599999999999999
A_closed_loop_state_feedback,1,0,0.42000000000000004
A_closed_loop_state_feedback,1,1,-0.8200000000000001
A_closed_loop_state_feedback_finite_difference,0,0,-1.66
A_closed_loop_state_feedback_finite_difference,0,1,0.6600000000000001
A_closed_loop_state_feedback_finite_difference,1,0,0.4200000000000001
A_closed_loop_state_feedback_finite_difference,1,1,-0.82
A_closed_loop_algebraic_measurement,0,0,-1.5178947368421052
A_closed_loop_algebraic_measurement,0,1,0.5652631578947367
A_closed_loop_algebraic_measurement,1,0,0.3726315789473684
A_closed_loop_algebraic_measurement,1,1,-0.7884210526315789
A_closed_loop_algebraic_measurement_finite_difference,0,0,-1.5178947368421052
A_closed_loop_algebraic_measurement_finite_difference,0,1,0.5652631578947368
A_closed_loop_algebraic_measurement_finite_difference,1,0,0.3726315789473684
A_closed_loop_algebraic_measurement_finite_difference,1,1,-0.7884210526315789


